Company,Brief Description,Protein category,B2B/B2C,Company focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,HQ Country,HQ State (U.S. only),HQ City,Website,Year founded,Founders
Nomou,Plant-based gelato ,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,Coconut,Asia Pacific,India ,,Mumbai,https://nomou.in/,2016,Hemali and Samir
NoMy,Norwegian company producing foods and materials from mycelium (the root-like filaments of fungi).,Biomass fermentation,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,Ingredients,,Mycelium,Europe,Norway,,Oslo,https://www.nomy.no,2020,Ingrid Dynna and David Andrew Quist
NoPalm Ingredients,Dutch biotechnology company producing yeast-derived oils and fats by fermenting agri-food waste side-streams.,Biomass fermentation,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),"Bioprocess design,Ingredient optimization",Oils and fats,Other,Yeast,Europe,Netherlands,,Wageningen,https://www.nopalm-ingredients.com/,2012,Lars Langhout and Jeroen Hugenholtz
Nordic Koji Company,Manufacturing innovative natural flavor enhancers. ,"Plant-based,Fermentation-derived",B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,Pea,Europe,Denmark,,Copenhagen ,https://nordickoji.co,2021,Mac Krol
Nordic Virtual Pastures,Danish company that makes sustainable cell culture media for cultivated meat.,Cultivated,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Cell culture media,,,,Europe,Denmark,,Copenhagen,https://www.nordicvirtualpastures.com/,2021,Jan Dideriksen
Nordzucker AG,"Large sugar producer headquartered in Germany that has entered the plant proteins sector, including by building a factory in Lower Saxony to process protein from yellow peas.",Plant-based,B2B,Meat,Diversified,Ingredient optimization,Ingredients,,Pea,"Europe,Australia/New Zealand",Germany,,Braunschweig,https://www.nordzucker.com/en/,1997,
North Carolina Food Innovation Lab,,Plant-based,,Contract manufacturing/processing,Diversified,,,,,United States and Canada,United States,North Carolina,Kannapolis,https://www.ncfoodinnovationlab.org/,2019,
North Dakota State University - Northern Crops Institute,,Plant-based,,Contract manufacturing/processing,Diversified,,,,,United States and Canada,United States,North Dakota,,https://www.northern-crops.com/facilities-nci,1979,
Nosh.bio,A Berlin-based company utilizing biomass fermentation to produce protein and technical functional ingredients.,Biomass fermentation,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Ingredient optimization,Ingredients,,Fungi,Europe,Germany,,Berlin,https://www.nosh.bio/,2022,"Tim Fronzek, Dr. Felipe Lino, and Xiangdong Zhao "
NotCo,"Chilean company that produces plant-based dairy products including mayo, milk, yogurt, and cheese.",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),"Ingredient optimization,End product formulation and manufacturing","Milk,Cheese,Other dairy",,Pea,"Latin America,United States and Canada",Chile,,Santiago,http://www.notco.com/,2015,"Matías Muchnick, Pablo Zamora, Karim Pichara"
Nothing F!shy,"Swedish producer of plant-based frozen fish substitutes with the taste, texture, look, and smell of real fish. ",Plant-based,B2C,Seafood,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Whole muscle meat/seafood,Other meat/seafood",Other fish,"Wheat,Algae,Omega-3 ",Europe,Sweden,,Malmö,https://nothingfishy.se/,2021,Caine Woodward
NOTO,Dessert company that includes a vegan frozen dessert line. ,Plant-based,B2C,Dairy,Diversified,End product formulation and manufacturing,Other dairy,,"Almond,Hazelnut",Asia Pacific,India ,,Mumbai,https://eatnoto.com/,2019,Ashni and Varun Sheth
NouBio,"NouBio unlocks cultivated meat and dairy industries with market-ready products (NouSerum & NouCarrier) that lower production costs by 95% whilst maintaining optimal cell growth, density, performance, and scalability. ",Cultivated,"B2C,B2B","Meat,Dairy,Seafood,Ingredients and inputs,Bioprocessing infrastructure and equipment",Specialized (focused on alternative proteins),"Cell culture media,Scaffolding and structure,Ingredient optimization",Ingredients,Other,,United States and Canada,United States,California,Los Angeles,https://www.noubio.co/,2022,"Samad Ahadian, Stephen G. Gray"
Noumi,Diversified Australian company producing precision-fermented lactoferrin as well as a broad range of plant-based products. Parent company of MILKLAB & Australia's Own that produce plant-based milk alternatives. ,"Plant-based,Precision fermentation","B2C,B2B","Dairy,Ingredients and inputs",Diversified,"Ingredient optimization,End product formulation and manufacturing","Milk,Other dairy,Ingredients",,,Australia/New Zealand,Australia,,Ingleburn,https://noumi.com.au/,1984,
Nourish Ingredients,Australian start-up producing animal-free fats and oils using precision fermentation.,Precision fermentation,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Ingredient optimization",Oils and fats,Other,,Australia/New Zealand,Australia,,Canberra,https://www.nourishing.io/,2019,"Ben Leita, James Petrie"
NovaMeat,3D printed plant-based meat.,Plant-based,B2B,Meat,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Scaffolding and structure",Whole muscle meat/seafood,"Pork,Beef/veal","Pea,Rice,Algae",Europe,Spain,,Barcelona,https://www.novameat.com/,2018,Giuseppe Scionti
Novel Farms,U.S.-based company that produces whole cuts of cultured Iberian pork. Innovative cell-cultivated food solutions for humans and pets,Cultivated,B2C,"Meat,Pet food",Specialized (focused on alternative proteins),"End product formulation and manufacturing,Scaffolding and structure",Whole muscle meat/seafood,Pork,,United States and Canada,United States,California,Berkeley,https://www.novelfarms.co/,2020,"Nieves Martinez Marshall, PhD, & Michelle Lu, PhD."
Novo Farina,Pulse-based protein made from 100% Yellow Peas. Made in Britain. ,Plant-based,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),"Crop development,Ingredient optimization",Ingredients,,Pea,Europe,United Kingdom,,Norwich,https://www.novofarina.co.uk/,2016,"Chris Harrison, Rob Alston, and Peter Briggs"
Novonesis,"A global bioscience company based in Denmark that develops microbial solutions for the food, beverage, nutritional, pharmaceutical and agricultural industries. The company is a supplier of food cultures, probiotics, enzymes and natural colors. In early 2024, Novozymes and Chr. Hansen merged into one company Novonesis. ","Precision fermentation,Fermentation-derived",B2B,Ingredients and inputs,Diversified,,Ingredients,,,"Europe,Africa/Middle East,Asia Pacific,Australia/New Zealand,Latin America,United States and Canada",Denmark,,Lyngby,https://www.chr-hansen.com/en/,1874,
NovoNutrients,Bay area company producing food and feed grade protein from upcycled CO2.,Biomass fermentation,B2B,"Ingredients and inputs,Bioprocessing infrastructure and equipment",Specialized (focused on alternative proteins),"Ingredient optimization,Target molecule selection,Bioprocess design",Ingredients,,CO2,United States and Canada,United States,California,Sunnyvale,www.novonutrients.com,2007,"Brian Sefton, Russell Howard"
NP Nutra,"Distributor of a selection of certified organic ingredients for the functional food and beverage, dietary supplement, cosmetic and pet food manufacturer industries.  ",Plant-based,B2B,Ingredients and inputs,Diversified,,,,"Rice,Hemp,Pea",United States and Canada,United States,California,Gardena,https://npnutra.com/,1998,Thomas Walton and Axel Wippich
NRGene,"Develops new plant and animal varieties with its cutting-edge predictive computational methods.
",Plant-based,B2B,Ingredients and inputs,Diversified,Crop development,,,Hemp,Africa/Middle East,Israel,,"Ness Ziona, HaMerkaz",https://www.nrgene.com/,2009,"David Lieber, Gil Ronen, Guy Kol"
Nth Wonder,Indonesia-based company that produces nondairy gelato from Kenari nuts,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,,Asia Pacific,Indonesia,,Jakarta,http://www.nthwonder.com/index.html,2020,"Gabriele Castagnetti, Marcello Giannuzzi"
Nubby Nibbles,"U.S.-based food company specializing in gourmet spice blends, sauces, and plant-based egg mixes",Plant-based,B2C,Eggs,Diversified,End product formulation and manufacturing,Eggs,,Chickpea,United States and Canada,United States,Colorado,Denver,https://nummynibbles.com,2016,
Nubocha Dairy Free Gelato,"US-based producer of vegan, no added sugar, low calorie, clean label, delicious gelato crafted with just 3 main ingredients. ",Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other dairy,,"Peanut,Hazelnut,Almond,Cashew",United States and Canada,United States,Texas,Dallas,https://www.nubocha.com/,2018,"Gianluca Franzoni, Katrina Smith"
NuCiCer,"NuCicer’s customized chickpea varieties with high protein content, targeted functional and nutritional properties, and positive environmental traits will directly impact the nutritional, environmental, transportation, and sustainability needs of the future at the required scale.",Plant-based,B2B,Ingredients and inputs,Specialized (focused on alternative proteins),Crop development,Ingredients,,Chickpea,United States and Canada,United States,California,Davis,https://www.nucicer.com/,2019,"Kathyrn Cook, Douglas Cook"
Nude.,Nude is the first carbon-neutral plant-based milk on the Brazilian market.,Plant-based,B2C,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,Oat,Latin America,Brazil,,São Paulo,https://heynude.com.br/,2020, Giovanna Appel and Alexander Appel
Nudj,France-based patties and nuggets made from jackfruit.,Plant-based,B2C,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,"Chicken,Beef/veal",Jackfruit,Europe,France,,Paris,https://www.eatnudj.com/#,2021,
Nūmi ,French biotech startup producing cell-cultured breast milk.,Cultivated,B2C,Dairy,Specialized (focused on alternative proteins),"End product formulation and manufacturing,Cell line development,Bioprocess design",Other dairy,,,Europe,France,,Paris,https://www.numi.life/,2023,Eden Banon-Lagrange and Eugénie Pezé-Heidsieck
Numilk,"NuMilk provides non-dairy, fresh milled almond milk with the push of a button, manufacturing a machine and pouches to produce milk at home. ",Plant-based,B2B,Food processing infrastructure and equipment,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Almond,Oat,Cashew",United States and Canada,United States,New York ,North Salem,https://numilk.com/,2018,Ari Tolwin
NUMU Vegan Cheese,Produces non-dairy mozzarella cheese for foodservice,Plant-based,"B2C,B2B",Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Cheese,,"Soy,Coconut",United States and Canada,United States,New York ,New York,http://www.numuvegan.com/,2016,Jill Carnegie
Nuna,"Israel-based biotech company developing adaptable cell culture technology. Initially focused on cultivated seafood, their platform aims to revolutionize sustainable protein production across various cell types. ",Cultivated,B2C,"Seafood,Bioprocessing infrastructure and equipment",Specialized (focused on alternative proteins),"Cell culture media,Cell line development,End product formulation and manufacturing","Whole muscle meat/seafood,Other meat/seafood",,Algae,Africa/Middle East,Israel,,Petah Tikva,,2023,Eli Bliah and Lea Bliah
NUProtein,"Japan-based company providing plant-based synthetic proteins for cultured media, such as growth factors and myoglobin of any animals from wheat germ",Cultivated,B2B,Ingredients and inputs,Diversified,Cell culture media,,,,Asia Pacific,Japan,,Tokushima,https://nuprotein.jp/en,2016,"Masataka Minami
"
Nura USA,"US-based manufacturer of food, beverage, and supplement ingredients, including plant proteins, such as pea, pumpkin seed, and rice.",Plant-based,B2B,Ingredients and inputs,Diversified,Ingredient optimization,Ingredients,,"Pea,Pumpkin,Rice",United States and Canada,United States,California,Irvine,https://nurausa.com/,2018,
Nurasa,"Singapore-based government-backed organization to support foodtech companies through providing investments, lab facilities (Food Tech Innovation Centre), and market facilities. ","Plant-based,Fermentation-derived","B2C,B2B",Contract manufacturing/processing,Diversified,,Other,,,Asia Pacific,Singapore,,Singapore,https://nurasa.com/,2021,
Nurishh,Produces a range of plant-based cheese products for foodservice and retail.,Precision fermentation,"B2C,B2B",Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,"Other dairy,Cheese",,"Coconut,Whey,Potato","United States and Canada,Africa/Middle East,Europe",France,,,https://nurishhanimalfree.com/products/,2023,
